class_id,predictions_0.01,predictions_0.5,predictions_0.55,predictions_0.6,predictions_0.65,predictions_0.7,predictions_0.75,predictions_0.8,predictions_0.85,predictions_0.9,predictions_0.95
84546,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
84547,0,0,0,0,0,0,0,0,0,0,0
84548,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
84549,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
84550,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
84551,-1,-1,-1,-1,-1,NULL,NULL,NULL,NULL,NULL,NULL
84552,1,1,1,1,1,NULL,NULL,NULL,NULL,NULL,NULL
84553,-1,-1,-1,-1,-1,NULL,NULL,NULL,NULL,NULL,NULL
84554,-1,-1,-1,-1,-1,-1,NULL,NULL,NULL,NULL,NULL
84555,-1,-1,-1,-1,-1,NULL,NULL,NULL,NULL,NULL,NULL
84556,-1,-1,-1,-1,-1,NULL,NULL,NULL,NULL,NULL,NULL
84557,-1,-1,-1,-1,-1,NULL,NULL,NULL,NULL,NULL,NULL
84558,-1,-1,-1,-1,-1,NULL,NULL,NULL,NULL,NULL,NULL
84559,-1,-1,-1,-1,-1,NULL,NULL,NULL,NULL,NULL,NULL
84560,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
84561,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
84562,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
84563,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
84564,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
84565,0,0,0,0,0,0,0,0,0,0,0
84566,0,0,0,0,0,0,0,0,0,0,0
84567,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
84568,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
84569,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
84570,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
84571,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
84572,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
84573,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
